Exam Name,# of Exam Takers,Cronbach's Alpha,Stdev,Mean,% Mean,Median Pts,Min Pts,Max Pts,Total Pts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025 PHAR XXX Midterm II,196,0.876421,0.172377,121.428552,72.2789,123.99996,31.999968,172.00008,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item #,Question Type #,Diff(p),Upper,Lower,Disc. Index,Point Biserial,Correct Answer,# Unanswered,% Unanswered,Item Text,PerfHist - # Correct,PerfHist - # Incorrect,PerfHist - # Not Attempted,PerfHist - Difficulty,Item Description,Item ID,Item Rev,GiveFullCreditToAllETs,BonusItem,AvgAnswerTime,Rationale,A - Text,A - Correct,A - # Selected,A - % Selected,A - Point Biserial,A - Disc. Index,A - Upper,A - Lower,B - Text,B - Correct,B - # Selected,B - % Selected,B - Point Biserial,B - Disc. Index,B - Upper,B - Lower,C - Text,C - Correct,C - # Selected,C - % Selected,C - Point Biserial,C - Disc. Index,C - Upper,C - Lower,D - Text,D - Correct,D - # Selected,D - % Selected,D - Point Biserial,D - Disc. Index,D - Upper,D - Lower,E - Text,E - Correct,E - # Selected,E - % Selected,E - Point Biserial,E - Disc. Index,E - Upper,E - Lower
21,MC,0.433673,0.690909,0.175439,0.51547,0.428936,D,1,0.510204082,Item Text Example Placeholder,88,115,1,0.435644,Desciptor Placeholder,132739,2,FALSE,FALSE,1:57,,A Text Placeholder,FALSE,34,17.34693878,0.11193284,-0.118979266,0.109090909,0.228070175,B Text Placeholder,FALSE,47,23.97959184,0.17295391,-0.206698565,0.109090909,0.315789474,C Text Placeholder,FALSE,15,7.653061224,0.06456737,-0.014992026,0.072727273,0.087719298,D Text Placeholder,TRUE,85,43.36734694,0.42893623,0.515470494,0.690909091,0.175438596,E Text Placeholder,FALSE,14,7.142857143,0.2708983,-0.157256778,0.018181818,0.175438596
22,MC,0.729592,0.963636,0.508772,0.454864,0.406054,E,0,0,Item Text Example Placeholder,150,53,0,0.738916,Desciptor Placeholder,132740,3,FALSE,FALSE,1:43,,A Text Placeholder,FALSE,8,4.081632653,0.18469508,-0.105263158,0,0.105263158,B Text Placeholder,FALSE,1,0.510204082,0.07277172,-0.01754386,0,0.01754386,C Text Placeholder,FALSE,4,2.040816327,0.32610512,-0.070175439,0,0.070175439,D Text Placeholder,FALSE,40,20.40816327,0.22955962,-0.261881978,0.036363636,0.298245614,E Text Placeholder,TRUE,143,72.95918367,0.40605358,0.454864434,0.963636364,0.50877193
23,MC,1,1,1,0,0,"B,C",0,0,Item Text Example Placeholder,197,6,0,0.970443,Desciptor Placeholder,132741,3,TRUE,FALSE,1:43,,A Text Placeholder,FALSE,3,1.530612245,0.17261774,-0.052631579,0,0.052631579,B Text Placeholder,TRUE,107,54.59183673,0.2969339,0.39585327,0.781818182,0.385964912,C Text Placeholder,TRUE,110,56.12244898,-0.25886748,-0.337480064,0.381818182,0.719298246,D Text Placeholder,FALSE,12,6.12244898,0.15075352,-0.105263158,0,0.105263158,E Text Placeholder,FALSE,6,3.06122449,0.29921972,-0.087719298,0,0.087719298
24,MC,0.857143,1,0.596491,0.403509,0.495419,A,0,0,Item Text Example Placeholder,174,29,0,0.857143,Desciptor Placeholder,132742,3,FALSE,FALSE,2:28,,A Text Placeholder,TRUE,168,85.71428571,0.4954185,0.403508772,1,0.596491228,B Text Placeholder,FALSE,6,3.06122449,0.27876535,-0.105263158,0,0.105263158,C Text Placeholder,FALSE,10,5.102040816,0.26765284,-0.157894737,0,0.157894737,D Text Placeholder,FALSE,8,4.081632653,0.17401033,-0.087719298,0,0.087719298,E Text Placeholder,FALSE,4,2.040816327,0.22642245,-0.052631579,0,0.052631579
25,MC,0.836735,0.981818,0.578947,0.402871,0.469856,D,0,0,Item Text Example Placeholder,177,34,0,0.838863,Desciptor Placeholder,132743,2,FALSE,FALSE,51,,A Text Placeholder,FALSE,1,0.510204082,0.08266281,-0.01754386,0,0.01754386,B Text Placeholder,FALSE,2,1.020408163,0.243424,-0.035087719,0,0.035087719,C Text Placeholder,FALSE,19,9.693877551,0.34485218,-0.245614035,0,0.245614035,D Text Placeholder,TRUE,164,83.67346939,0.46985617,0.402870813,0.981818182,0.578947368,E Text Placeholder,FALSE,10,5.102040816,0.18758599,-0.104625199,0.018181818,0.122807018
26,MC,0.770408,1,0.473684,0.526316,0.499455,B,0,0,Item Text Example Placeholder,162,49,0,0.767773,Desciptor Placeholder,132744,3,FALSE,FALSE,1:29,,A Text Placeholder,FALSE,16,8.163265306,0.23605383,-0.175438596,0,0.175438596,B Text Placeholder,TRUE,151,77.04081633,0.49945478,0.526315789,1,0.473684211,C Text Placeholder,FALSE,7,3.571428571,0.20696036,-0.070175439,0,0.070175439,D Text Placeholder,FALSE,16,8.163265306,0.33385828,-0.228070175,0,0.228070175,E Text Placeholder,FALSE,6,3.06122449,0.0905842,-0.052631579,0,0.052631579
27,MC,0.045918,0.090909,0.035088,0.055821,0.107019,D,1,0.510204082,Item Text Example Placeholder,9,194,1,0.044554,Desciptor Placeholder,132745,3,FALSE,TRUE,3:08,,A Text Placeholder,FALSE,35,17.85714286,0.23828292,-0.2261563,0.054545455,0.280701754,B Text Placeholder,FALSE,126,64.28571429,-0.29267735,0.325677831,0.781818182,0.456140351,C Text Placeholder,FALSE,3,1.530612245,0.04633194,-0.01754386,0,0.01754386,D Text Placeholder,TRUE,9,4.591836735,0.10701874,0.055821372,0.090909091,0.035087719,E Text Placeholder,FALSE,22,11.2244898,0.17827825,-0.120255183,0.072727273,0.192982456
28,MC,0.75,0.945455,0.561404,0.384051,0.375133,A,0,0,Item Text Example Placeholder,153,50,0,0.753695,Desciptor Placeholder,132746,3,FALSE,FALSE,2:58,,A Text Placeholder,TRUE,147,75,0.37513265,0.384051037,0.945454545,0.561403509,B Text Placeholder,FALSE,13,6.632653061,0.02447531,-0.016267943,0.036363636,0.052631579,C Text Placeholder,FALSE,12,6.12244898,0.21248282,-0.122807018,0,0.122807018,D Text Placeholder,FALSE,19,9.693877551,0.28292505,-0.210526316,0,0.210526316,E Text Placeholder,FALSE,5,2.551020408,0.13759999,-0.034449761,0.018181818,0.052631579
29,MC,0.862245,1,0.719298,0.280702,0.377553,A,0,0,Item Text Example Placeholder,173,30,0,0.852217,Desciptor Placeholder,132747,1,FALSE,FALSE,1:08,,A Text Placeholder,TRUE,169,86.2244898,0.37755306,0.280701754,1,0.719298246,B Text Placeholder,FALSE,0,0,0,0,0,0,C Text Placeholder,FALSE,1,0.510204082,-0.03603269,0,0,0,D Text Placeholder,FALSE,1,0.510204082,0.09255431,-0.01754386,0,0.01754386,E Text Placeholder,FALSE,25,12.75510204,0.37799179,-0.263157895,0,0.263157895
30,MC,0.311224,0.654545,0.070175,0.58437,0.501092,B,0,0,Item Text Example Placeholder,62,141,0,0.305419,Desciptor Placeholder,132748,1,FALSE,FALSE,1:46,,A Text Placeholder,FALSE,25,12.75510204,0.215327,-0.209888357,0.018181818,0.228070175,B Text Placeholder,TRUE,61,31.12244898,0.50109201,0.584370016,0.654545455,0.070175439,C Text Placeholder,FALSE,6,3.06122449,0.19285656,-0.070175439,0,0.070175439,D Text Placeholder,FALSE,5,2.551020408,0.13759981,-0.034449761,0.018181818,0.052631579,E Text Placeholder,FALSE,99,50.51020408,0.21051988,-0.269856459,0.309090909,0.578947368
